연번,가격,상품명,상세정보
31,"최저1,529,000원",삼성전자 올인원 프로 DM970AGA-L51A,"형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : Ultra5-125H, CPU종류 : 코어 울트라5램용량 : 16GB, SSD용량 : 256GB속도(기본클럭) : 4.5GHz"
32,"최저1,840,000원",몬스타 가츠 AMD 7500F 4070 SUPER 게이밍컴퓨터,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-7500F, , 그래픽 : 지포스 RTX4070 SUPER, 메인보드 : (AMD) A620, 칩셋램용량 : 32GB"
33,"729,000원",삼성 올인원PC 일체형 24인치 데스크탑 사무용 인강용 컴퓨터 Win11Pro탑재 기본팩,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 펜티엄 골드-G7505, CPU종류 : 펜티엄 골드코어종류 : 2코어램용량 : 4GB, SSD용량 : 128GB    "
34,"449,000원",윈도우11정품 게이밍조립컴퓨터PC 배그디아블로4 게임용컴퓨터 본체 풀세트 윈도우01,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 10세대, CPU : 코어i5-10400F, 메인보드 : (인텔)H510, 칩셋램용량 : 16GB속도(기본클럭) : 3.4GHz터보부스트 : 3.4GHz         "
35,"322,000원",조립컴퓨터 5600g 16gb 미니pc 게이밍 사무용 본체 리니지m 다계정 작업장,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-5600G, , 그래픽 : 라데온 , , 그래픽 7, 메인보드 : (AMD)A520칩셋속도(기본클럭) : 4.3GHz"
36,"249,000원",미니PC 디클 T1 + 오피스365 N100 쿼드코어 미니 슬림 사무용 인텔 초고속SSD 컴퓨터 Win11,"종류 : 조립형PC, CPU제조사 : 인텔램용량 : 4GB, 램규격 : DDR4, SSD용량 : 128GB  
램 8GB 무료 업그레이드 행사"
37,"최저399,000원",한성컴퓨터 프리워커 F5600,"품목 : 데스크탑특징 : 사무용CPU제조사 : AMDCPU : 라이젠5-5600G, CPU종류 : 라이젠 5코어종류 : 6코어, 메인보드 : (AMD)A520, 칩셋램용량 : 16GB, SSD용량 : 250GB "
38,"159,000원",삼성 컴퓨터 PC 게이밍 조립 데스크탑 01 사무용 i5-2400 본체만,"품목 : 데스크탑CPU제조사 : 인텔CPU : 코어i5램용량 : 16GB, SSD용량 : 256GB, 램규격 : DDR4, 운영체제 : 윈도우10해상도 : 1920x1080(Full-HD), 운영체제 bit : 64bit"
39,"1,569,000원",인텔13세대 RTX4070 게이밍 게임용 고사양 조립컴퓨터 롤 오버워치 배그 본체 PC01,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 13세대, CPU : 코어i5-13400F  
조립컴퓨터 구매 시 게이밍 키보드마우스헤드셋장패드 증정!"
40,"1,598,000원",[혜택가127만] LG일체형PC 27인치 i7 올인원 SSD+RAM 더블 업그레이드,"품목 : 데스크탑형태 : 일체형PC특징 : 게이밍(게임용)CPU제조사 : 인텔      
리뷰 이벤트 참여시 최대 40000P 증정"
41,"최저3,320,000원",몬스타 가츠 영상편집 2024 프리미엄 에디션,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i9 14세대, CPU : 코어i9-14900K, , 그래픽 : 지포스 RTX4060 Ti, 메인보드 : (인텔)Z790램용량 : 64GB속도(기본클럭) : 3.2GHz"
42,"865,000원",게이밍컴퓨터 조립PC 고사양 배그 로스트아크 발로란트 PC방 본체01,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-5600, , 그래픽 : 지포스 RTX4060, 메인보드 : (AMD)A520, 칩셋램용량 : 16GB "
43,"최저889,000원",삼성전자 삼성 DM500TGA-A58A,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-14400, CPU종류 : 코어i5 14세대, 메인보드 : (인텔)H670, 칩셋램용량 : 8GB, SSD용량 : 256GB"
44,"최저949,000원",삼성전자 삼성 DM500TGZ-AD7A,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i7-14700, CPU종류 : 코어i7 14세대, 메인보드 : (인텔)H670, 칩셋램용량 : 8GB, SSD용량 : 256GB"
45,"249,000원",HP 미니 PC EliteDesk 800 G3 i5 6500T 가정용 사무용,"종류 : 베어본PC, CPU종류 : 코어i5 6세대, CPU : 코어i5-6500T, , 그래픽 : 인텔HD630, 메인보드 : (인텔) H110, 칩셋램용량 : 8GB속도(기본클럭) : 3.5GHz, 램규격 : DDR4L    "
46,"최저1,139,000원",7500F RTX4060Ti,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-7500F, , 그래픽 : 지포스 RTX4060 Ti, 메인보드 : (AMD) A620M, 칩셋램용량 : 16GB, 램규격 : DDR5"
47,"1,209,000원",PC방에서 가장 많이 쓰는 7500F 4060 데스크탑 허수아비컴퓨터 PC HG10,"종류 : 조립형PC, CPU제조사 : AMDCPU : 라이젠5-7500F, , 그래픽 : 지포스 RTX4060, 메인보드 : (AMD) B650, 칩셋램용량 : 16GB, 램규격 : DDR5랜 : 유선랜  "
