연번,가격,상품명,상세정보
1138,"최저1,947,140원",한성컴퓨터 DX 870AN3,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠7-7800X3D, CPU종류 : 라이젠 7코어종류 : 8코어램용량 : 16GB, SSD용량 : 500GB  "
1139,"최저722,000원",IGNIQ 리트 심플PC 1J WIN11 홈(RT-SPP00010),"품목 : 데스크탑특징 : 사무용CPU제조사 : AMDCPU : 라이젠7-5700G, CPU종류 : 라이젠 7, 메인보드 : (AMD)A520칩셋속도(기본클럭) : 3.8GHz, , 그래픽 : 라데온 , , 그래픽 8파워 : 200W     "
1140,"최저2,019,000원",한성컴퓨터 보스몬스터 AX 5670INXS,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-14600KF, CPU종류 : 코어i5 14세대코어종류 : 14코어, 메인보드 : (인텔)B760    "
1141,"최저909,000원",레노버 씽크센터 M80q G4 Tiny 12E90004KR,"품목 : 미니PC형태 : 슬림형CPU제조사 : 인텔CPU : 코어i5-13500T, CPU종류 : 코어i5 13세대코어종류 : 14코어, 메인보드 : (인텔)Q670, 칩셋램용량 : 8GB   "
1142,"최저489,000원",더엠알네트웍스 MR A6-J3710,"형태 : 일체형PC코어종류 : 4코어화면크기 : 24인치(59~61cm), , 그래픽 메모리 : 시스템 메모리 공유"
1143,"1,210,000원",영웅컴퓨터 게이밍울트라 7546GT - 7500F 32GB 1TB RTX4060Ti 조립컴퓨터 100% 새상품 사용,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-7500F, , 그래픽 : 지포스 RTX4060, 메인보드 : (AMD) A620M, 칩셋램용량 : 32GB     "
1144,"최저1,246,400원",주연테크 D775F46NS,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-7500F, CPU종류 : 라이젠 5, 메인보드 : (AMD) B650M, 칩셋램용량 : 32GB, SSD용량 : 1TB"
1145,"최저1,532,520원",주연테크 D775F46TWNS,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-7500F, CPU종류 : 라이젠 5, 메인보드 : (AMD) B650M, 칩셋램용량 : 32GB, SSD용량 : 1TB"
1146,"최저1,849,320원",주연테크 D775F47WNS,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-7500F, CPU종류 : 라이젠 5, 메인보드 : (AMD) B650M, 칩셋램용량 : 32GB, SSD용량 : 1TB"
1147,"최저2,324,510원",주연테크 D775F47TSWNS,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-7500F, CPU종류 : 라이젠 5, 메인보드 : (AMD) B650M, 칩셋램용량 : 32GB, SSD용량 : 1TB"
1148,"최저1,701,810원",주연테크 D775F47NS,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-7500F, CPU종류 : 라이젠 5, 메인보드 : (AMD) B650M, 칩셋램용량 : 32GB, SSD용량 : 1TB"
1149,"최저1,987,920원",주연테크 D775F47SWNS,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-7500F, CPU종류 : 라이젠 5, 메인보드 : (AMD) B650M, 칩셋램용량 : 32GB, SSD용량 : 1TB"
1150,"최저1,088,010원",주연테크 D784F76,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-8400F, CPU종류 : 라이젠 5, 메인보드 : (AMD) A620M, 칩셋램용량 : 16GB, SSD용량 : 512GB"
1151,"최저1,334,520원",주연테크 D784F67XTW,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-8400F, CPU종류 : 라이젠 5, 메인보드 : (AMD) A620M, 칩셋램용량 : 16GB, SSD용량 : 512GB"
1152,"777,400원",AMD 라이젠5 4세대 5600 / RTX4060 게이밍 표준PC,연간 4900원으로 신세계 유니버스 클럽 가입하시고 매월 최대 15%할인&무제한 5% 할인 기회를 놓치지 마세요! 추가로 스타벅스와 이마트 할인 혜택도 있어요!
1153,"최저1,232,000원",IGNIQ 이그닉리트 스탠다드PC 4546,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-14400F, CPU종류 : 코어i5 14세대, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB       "
1154,"293,000원",삼성 일체형 PC DM700A3D i5 i3 23인치 올인원 컴퓨터,페이지 참조
1155,"최저1,059,720원",S57D2 라이젠7 5700X3D 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 7CPU : 라이젠7-5700X3D, , 그래픽 : 지포스 RTX4060, 메인보드 : (AMD) B550M, 칩셋램용량 : 16GB"
1156,"최저582,000원",IGNIQ 이그닉리트 심플PC 3300 Win11,"품목 : 데스크탑형태 : 슬림형특징 : 사무용CPU제조사 : 인텔CPU : 코어i3-13100, CPU종류 : 코어i3 13세대코어종류 : 4코어, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB     "
1157,"최저2,240,000원",몬스타 몬스터게임 몬스타PC 영상편집 2024 더블랙,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i7 14세대, CPU : 코어i7-14700K, , 그래픽 : 지포스 RTX4060 Ti, 메인보드 : (인텔)B760M, 칩셋램용량 : 64GB, 램규격 : DDR5"
1158,"최저892,000원",IGNIQ 비와이 30 2200 Win11,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 펜티엄 골드-G7400, CPU종류 : 펜티엄 골드코어종류 : 2코어, 메인보드 : (인텔)H610, 칩셋램용량 : 4GB         "
1159,"최저1,212,000원",IGNIQ 이그닉리트 스탠다드PC 4700 Win11,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i7-14700, CPU종류 : 코어i7 14세대, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB, SSD용량 : 512GB       "
1160,"482,600원",삼성 슬림 컴퓨터풀세트 8세대 i5 사무용 주식용 윈도우11설치,"종류 : 조립형PC, CPU제조사 : 인텔CPU : 코어i5-8500램용량 : 16GB코드명 : 커피레이크(8세대), SSD용량 : 512GB랜 : 유선랜 1Gbps단자 : D-Sub DVI HDMI "
1161,"최저3,652,000원",IGNIQ 인테그 마스터 2948KS IG-ITM00002 Win11,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i9-12900KF, CPU종류 : 코어i9 12세대코어종류 : 8+8코어, 메인보드 : (인텔)B760램용량 : 32GB       "
1162,"최저1,196,050원",DELL OPTIPLEX 7020MFF i7-14700T,"품목 : 미니PC형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i7-14700T, CPU종류 : 코어i7 14세대, 메인보드 : (인텔)Q670, 칩셋램용량 : 8GB, SSD용량 : 512GB    "
1163,"최저369,000원",주연테크 굿워크 D1v7400GP,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : G7400, CPU종류 : 펜티엄 골드코어종류 : 2코어, 메인보드 : (인텔)H610, 칩셋램용량 : 4GB      "
1164,"최저1,110,690원",레노버 씽크센터 NEO 50T G4 12JDS01500,"품목 : 데스크탑형태 : 슬림형특징 : 사무용CPU제조사 : 인텔CPU : 코어i7-13700, CPU종류 : 코어i7 13세대코어종류 : 16코어, 메인보드 : (인텔)B760램용량 : 8GB         "
1165,"최저1,265,000원",이엠텍 레드빗 PRO - I5O303,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i5-12400F, , 그래픽 : 지포스 RTX4060 Ti, 메인보드 : (인텔)B760M, 칩셋램용량 : 32GB "
1166,"최저1,122,000원",이엠텍 PRO - R5O303,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-5600, , 그래픽 : 지포스 RTX4060 Ti, 메인보드 : (AMD) B550M, 칩셋램용량 : 32GB "
1167,"최저582,000원",IGNIQ 이그닉리트 타이니타워 4300,"품목 : 미니PC형태 : 슬림형특징 : 사무용CPU제조사 : 인텔CPU : 코어i3-14100, CPU종류 : 코어i3 14세대, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB, SSD용량 : 256GB     "
1168,"최저4,649,000원",한성컴퓨터 보스몬스터 DX 790INX,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i7-14700KF, CPU종류 : 코어i7 14세대코어종류 : 20코어, 메인보드 : (인텔)Z790   "
1169,"최저445,800원",청운테크 왕가피씨 WGHC7,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 11세대, CPU : 코어i5-11400, , 그래픽 : 인텔UHD730, 메인보드 : (인텔)H510, 칩셋램용량 : 8GB속도(기본클럭) : 2.6GHz"
1170,"최저696,550원",HP 파빌리온 TP01-4000KL,"품목 : 데스크탑형태 : 타워형CPU제조사 : 인텔CPU : 코어i5-13400, CPU종류 : 코어i5 13세대코어종류 : 10코어램용량 : 8GB, SSD용량 : 256GB        "
1171,"1,599,000원",한성컴퓨터 TFG AX3i706X,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i7-13700KF, CPU종류 : 코어i7 13세대코어종류 : 8+8코어, 메인보드 : (인텔)Z790램용량 : 16GB"
1172,"최저1,032,000원",IGNIQ 인테그 젠지 8700,"품목 : 데스크탑형태 : 큐브형특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠7-8700G, CPU종류 : 라이젠 7, 메인보드 : (AMD) A620, 칩셋램용량 : 16GB      "
1173,"최저2,000,000원",삼성전자 삼성 DM500TCA-A78,"품목 : 데스크탑CPU제조사 : 인텔CPU : 코어i7-10700램용량 : 8GB, SSD용량 : 256GB속도(기본클럭) : 2.9GHzHDD용량 : 1TB, , 그래픽 : 지포스RTX2060, 운영체제 : 윈도우10 홈   "
1174,"최저1,308,000원",주연테크 CG224F46TW,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-12400F, CPU종류 : 코어i5 12세대, 메인보드 : (인텔)H610M칩셋 "
1175,"최저1,502,000원",IGNIQ 이그닉리트 퍼포먼스PC 3546T,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-13400F, CPU종류 : 코어i5 13세대코어종류 : 6+4코어, 메인보드 : (인텔)B660, 칩셋램용량 : 16GB    "
1176,"최저1,342,000원",IGNIQ 이그닉리트 퍼포먼스PC 3546,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-13400F, CPU종류 : 코어i5 13세대코어종류 : 6+4코어, 메인보드 : (인텔)B660, 칩셋램용량 : 16GB    "
1177,"6,000,000원",이더리움채굴기 비트코인이더리움 레이븐가상화폐 RTX3070Ti LHR 6way,페이지 참조
1178,"최저1,018,710원",주연테크 D324F46,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-12400F, CPU종류 : 코어i5 12세대, 메인보드 : (인텔)H610M, 칩셋램용량 : 16GB, SSD용량 : 512GB    "
1179,"최저2,000,000원",삼성전자 삼성 DM500TCA-A38AB,"품목 : 데스크탑CPU제조사 : 인텔CPU : 코어i3-10100, CPU종류 : 코어i3 10세대코어종류 : 4코어, 메인보드 : (인텔) H470, 칩셋램용량 : 8GB, SSD용량 : 256GB      "
1180,"최저549,000원",HP 프로타워 280 G9 4N4N9AV_H3,"품목 : 데스크탑CPU제조사 : 인텔CPU : 코어i3-12100, CPU종류 : 코어i3 12세대코어종류 : 4코어램용량 : 4GB, SSD용량 : 256GB속도(기본클럭) : 3.3GHz  "
1181,"최저1,179,000원",한성컴퓨터 보스몬스터 AX 560IN,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU : 코어i5-14400F, CPU종류 : 코어i5 14세대코어종류 : 10코어, 메인보드 : (인텔)B760램용량 : 16GB "
1182,"최저699,000원",IGNIQ 이그닉리트 RT-STP00045 Win11,"품목 : 데스크탑특징 : 사무용CPU제조사 : AMDCPU : 라이젠5-8500G, CPU종류 : 라이젠 5코어종류 : 2+4코어, 메인보드 : (AMD) A620, 칩셋램용량 : 8GB, SSD용량 : 256GB      "
1183,"798,800원",삼성전자 삼성 DM500S8A-A24,페이지 참조
1184,"최저525,250원",HP 파빌리온 TP01-2021KR,"품목 : 데스크탑CPU제조사 : AMDCPU : 라이젠3-5300G, CPU종류 : 라이젠 3, 메인보드 : (AMD)B550, 칩셋램용량 : 8GB, SSD용량 : 256GB속도(기본클럭) : 4.0GHz        "
1185,"최저439,000원",한성컴퓨터 M시리즈 셀러론 win,"품목 : 데스크탑특징 : 사무용CPU제조사 : 인텔, CPU종류 : 셀러론램용량 : 8GB, SSD용량 : 240GB, , 그래픽 : 인텔UHD610파워 : 350W, 램규격 : DDR4 "
1186,"최저3,198,000원",아싸컴 a게이밍5 G1,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5 PROCPU : 라이젠5 Pro-4650G, , 그래픽 : 지포스GT1030, 메인보드 : (AMD) A320, 칩셋램용량 : 8GB    "
1187,"최저618,000원",주연테크 D1v13100P,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i3 13세대, CPU : 코어i3-13100, , 그래픽 : 인텔UHD730, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB, 램규격 : DDR4  "
1188,"최저643,270원",레노버 씽크센터 M70t Gen3 11TAS00100,"품목 : 데스크탑특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-12400, CPU종류 : 코어i5 12세대코어종류 : 6코어, 메인보드 : (인텔)Q670, 칩셋램용량 : 4GB    "
1189,"최저1,750,000원",HP VICTUS 15L TG02-0001KR,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-5600G, CPU종류 : 라이젠 5코어종류 : 6코어램용량 : 16GB, SSD용량 : 512GB         "
1190,"최저432,000원",IGNIQ 이그닉리트 타이니타워 2200 Win11,"품목 : 미니PC형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : G7400, CPU종류 : 펜티엄 골드코어종류 : 2코어, 메인보드 : (인텔)H610, 칩셋램용량 : 4GB   "
1191,"최저1,661,510원",주연테크 리오나인 메쉬박스 CG334F47,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-13400F, CPU종류 : 코어i5 13세대, 메인보드 : (인텔)B760M, 칩셋램용량 : 16GB, SSD용량 : 512GB     "
1192,"최저1,312,000원",IGNIQ 인테그 젠지 5646T,"품목 : 데스크탑형태 : 타워형CPU제조사 : AMDCPU : 라이젠5-5600, 메인보드 : (AMD) B450, 칩셋램용량 : 16GB, SSD용량 : 512GB, , 그래픽 : 지포스 RTX4060 Ti     "
1193,"최저1,462,000원",IGNIQ 인테그 젠지 5646T Win11,"품목 : 데스크탑형태 : 타워형CPU제조사 : AMDCPU : 라이젠5-5600, 메인보드 : (AMD) B450, 칩셋램용량 : 16GB, SSD용량 : 512GB, , 그래픽 : 지포스 RTX4060 Ti     "
1194,"최저571,560원",ASUS S500SE-3131000090,"형태 : 슬림형CPU제조사 : 인텔CPU : 코어i3-13100, CPU종류 : 코어i3 13세대코어종류 : 4코어, 메인보드 : (인텔)B760램용량 : 8GB, SSD용량 : 512GB    "
1195,"99,000원",XP컴퓨터 산업용 윈도우xP 본체 시리얼/패러럴 - G620 3G 320G XP,"품목 : 데스크탑CPU제조사 : 인텔램용량 : 4GBHDD용량 : 320GB, 운영체제 : 윈도우XP 윈도우XP 프로 윈도우XP 홈ODD : 옵션(선택사양)단자 : 시리얼, 운영체제 bit : 32bit"
1196,"최저2,975,400원",한성컴퓨터 보스몬스터 DX 7980AN3S,"품목 : 데스크탑형태 : 타워형CPU제조사 : AMDCPU : 라이젠9-7900X3D, CPU종류 : 라이젠 9코어종류 : 12코어, 메인보드 : (AMD) B650, 칩셋램용량 : 32GB    "
1197,"최저1,999,000원",한성컴퓨터 보스몬스터 AX 570ANTSB,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-7500F, CPU종류 : 라이젠 5코어종류 : 6코어, 메인보드 : (AMD) B650칩셋    "
1198,"최저2,198,970원",주연테크 D775F47TSNS,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-7500F, CPU종류 : 라이젠 5, 메인보드 : (AMD) B650M, 칩셋램용량 : 16GB, SSD용량 : 1TB"
1199,"최저1,286,010원",주연테크 D787F76,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠7-8700F, CPU종류 : 라이젠 7, 메인보드 : (AMD) B650M, 칩셋램용량 : 16GB, SSD용량 : 512GB"
1200,"최저1,433,520원",주연테크 D787F76W,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠7-8700F, CPU종류 : 라이젠 7, 메인보드 : (AMD) B650M, 칩셋램용량 : 16GB, SSD용량 : 512GB"
1201,"최저1,521,700원",IGNIQ 인테그 젠지 3546T,"품목 : 데스크탑형태 : 큐브형특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-13400F, CPU종류 : 코어i5 13세대코어종류 : 6+4코어    "
1202,"최저5,602,000원",IGNIQ 이그닉리트 4949K,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i9-14900KF, CPU종류 : 코어i9 14세대코어종류 : 8+16코어         "
1203,"1,149,000원",디클 A24-711 윈도우,"품목 : 데스크탑형태 : 일체형PCCPU제조사 : 인텔CPU : 코어i7-11700, CPU종류 : 코어i7 11세대코어종류 : 8코어램용량 : 8GB, SSD용량 : 256GB      "
1204,"최저1,205,180원",주연테크 D35646TW,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-5600, CPU종류 : 라이젠 5, 메인보드 : (AMD)A520M, 칩셋램용량 : 16GB, SSD용량 : 512GB  "
1205,"최저1,602,000원",IGNIQ 이그닉리트 스탠다드PC 4546T Win11,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-14400F, CPU종류 : 코어i5 14세대, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB, SSD용량 : 512GB       "
1206,"최저511,930원",주연테크 굿워크 D1v13400,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-13400, CPU종류 : 코어i5 13세대코어종류 : 6코어, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB      "
1207,"799,000원",게이밍컴퓨터 데스크탑 조립 본체 PC 디아블로4 배틀그라운드 배그 오버워치 롤 만능01,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i3 10세대, CPU : 코어i3-10105F속도(기본클럭) : 3.7GHz코드명 : 엘더레이크(12세대)품목 : 데스크탑"
1208,"최저1,432,000원",IGNIQ 이그닉리트 퍼포먼스PC 5646T Win11,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-5600, CPU종류 : 라이젠 5코어종류 : 6코어, 메인보드 : (AMD)A520칩셋, SSD용량 : 512GB   "
1209,"최저1,102,000원",IGNIQ 이그닉리트 심플PC 3700 Win11,"품목 : 데스크탑형태 : 슬림형특징 : 사무용CPU제조사 : 인텔CPU : 코어i7-13700, CPU종류 : 코어i7 13세대코어종류 : 8+8코어, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB      "
1210,"최저1,052,000원",IGNIQ 이그닉리트 퍼포먼스PC 3516 (RT-PFP00013),"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-13400F, CPU종류 : 코어i5 13세대코어종류 : 6+4코어    "
1211,"최저952,000원",IGNIQ 이그닉리트 심플PC 3700,"품목 : 데스크탑형태 : 슬림형특징 : 사무용CPU제조사 : 인텔CPU : 코어i7-13700, CPU종류 : 코어i7 13세대코어종류 : 8+8코어, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB      "
1212,"최저935,770원",HP 24-cr1000KL,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : Ultra5-125H, CPU종류 : 코어 울트라5코어종류 : 14코어램용량 : 8GB, SSD용량 : 512GB     "
1213,"최저1,179,900원",이엑스코리아 프리미엄 게이밍 i7 9700K RTX,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i7 9세대, CPU : 코어i7-9700K, , 그래픽 : 지포스GTX1060, 메인보드 : (인텔) B365, 칩셋램용량 : 8GB"
1214,"최저7,350,000원",몬스타 몬스타기어 몬스타PC 실버문,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i9 14세대, CPU : 코어i9-14900K, , 그래픽 : 라데온 RX-7900 XTX, 메인보드 : (인텔)Z790램용량 : 64GB"
1215,"최저3,099,710원",A795D8S 라이젠9 7950X3D 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 9CPU : 라이젠9-7950X3D, , 그래픽 : 지포스 RTX4080 SUPER, 메인보드 : (AMD) B650M, 칩셋램용량 : 32GB "
1216,"최저1,900,000원",몬스타 몬스타기어 몬스타PC 프레임,"종류 : 베어본PCCPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-7500F, , 그래픽 : 지포스 RTX4070 SUPER, 메인보드 : (AMD) A620M, 칩셋램용량 : 32GB"
1217,"690,000원",조립PC 게이밍 컴퓨터 본체 RTX3060 2060 인텔 라이젠 디아4 고사양 게임용PC,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i3 12세대, CPU : 코어i3-12100F, , 그래픽 : 지포스RTX2060, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB      "
1218,"최저1,189,060원",HP 27-CB1003KR,"품목 : 데스크탑형태 : 일체형PCCPU제조사 : AMDCPU : 라이젠7-5825U, CPU종류 : 라이젠 7코어종류 : 8코어램용량 : 8GB, SSD용량 : 256GB   "
1219,"1,749,000원",LG 일체형PC 27인치 i7 데스크탑 올인원PC 브랜드PC,"품목 : 데스크탑형태 : 일체형PC특징 : 게이밍(게임용)CPU제조사 : 인텔     
[LG전자 온라인인증점]"
1220,"최저2,009,000원",DELL 인스피론 27 DNDT7710-WH04KR,"형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 코어i7-1255U, CPU종류 : 코어i7 12세대코어종류 : 10코어램용량 : 16GB, SSD용량 : 512GB  "
1221,"최저839,000원",삼성전자 삼성 DM530ABE-L34A,"형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 코어i3-8145U코어종류 : 2코어램용량 : 4GB, SSD용량 : 128GB속도(기본클럭) : 2.1GHz터보부스트 : 3.9GHz   "
1222,"최저866,190원",한성컴퓨터 MX12505i,"품목 : 데스크탑CPU제조사 : 인텔CPU : 코어i5-12400F, CPU종류 : 코어i5 12세대코어종류 : 6코어, 메인보드 : (인텔)B660, 칩셋램용량 : 16GB, SSD용량 : 256GB "
1223,"최저572,000원",IGNIQ 이그닉리트 심플PC 5700,"품목 : 데스크탑형태 : 슬림형특징 : 사무용CPU제조사 : AMDCPU : 라이젠7-5700G, CPU종류 : 라이젠 7코어종류 : 8코어, 메인보드 : (AMD)A520, 칩셋램용량 : 16GB     "
1224,"529,000원",게이밍 사무용 작업용 화이트 조립컴퓨터 롤 발로란트 오버워치 배그 조립PC 데스크탑 본체,종류 : 베어본PC
1225,"최저863,680원",IGNIQ 리트 심플PC 1E RE(RT-SPP00015),"품목 : 데스크탑형태 : 슬림형특징 : 사무용CPU제조사 : 인텔CPU : 코어i7-12700, CPU종류 : 코어i7 12세대코어종류 : 8+4코어, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB    "
1226,"최저748,990원",DELL OPTIPLEX 7020MFF i3-14100T,"품목 : 미니PC형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i3-14100T, CPU종류 : 코어i3 14세대, 메인보드 : (인텔)Q670, 칩셋램용량 : 8GB, SSD용량 : 256GB    "
1227,"최저578,000원",주연테크 D1v12100P,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i3-12100, CPU종류 : 코어i3 12세대, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB, SSD용량 : 256GB  "
1228,"최저902,000원",IGNIQ 이그닉리트 타이니타워 4500 Win11,"품목 : 미니PC형태 : 슬림형특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-14400, CPU종류 : 코어i5 14세대코어종류 : 6+4코어, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB     "
1229,"최저1,314,710원",주연테크 D324F46TW,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-12400F, CPU종류 : 코어i5 12세대, 메인보드 : (인텔)H610M, 칩셋램용량 : 16GB, SSD용량 : 512GB    "
1230,"최저1,096,470원",주연테크 D324F46T,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-12400F, CPU종류 : 코어i5 12세대, 메인보드 : (인텔)H610M, 칩셋램용량 : 16GB, SSD용량 : 512GB    "
1231,"98,000원",해외미니 데스크탑 i5 소형 PC 사무용 휴대용 조립 diy 저소음 컴퓨터 본체,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 1세대품목 : 미니PC(베어본)"
1232,"최저2,249,000원",한성컴퓨터 보스몬스터 AX 5670INXTS,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-14600KF, CPU종류 : 코어i5 14세대코어종류 : 14코어, 메인보드 : (인텔)B760     "
1233,"최저532,000원",IGNIQ 이그닉리트 스탠다드PC 4300,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i3-14100, CPU종류 : 코어i3 14세대, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB, SSD용량 : 256GB       "
1234,"최저572,000원",IGNIQ 리트 심플PC 1J 프리도스(RT-SPP00010),"품목 : 데스크탑CPU제조사 : AMDCPU : 라이젠7-5700G, CPU종류 : 라이젠 7코어종류 : 8코어, 메인보드 : (AMD)A520, 칩셋램용량 : 16GB, SSD용량 : 240GB     "
1235,"785,500원",[10대 한정 특가PC] 5600 + RX 6600 라라랜드PC,페이지 참조
1236,"최저2,196,980원",레노버 YOGA AIO9-32IRH8 i9W,"형태 : 일체형PCCPU제조사 : 인텔CPU : 코어i9-13900H, CPU종류 : 코어i9 13세대코어종류 : 14코어램용량 : 16GB, SSD용량 : 512GB터보부스트 : 5.4GHz      "
1237,"179,000원",사무용 PC 게이밍 컴퓨터 세트 i5 데스크탑 롤 피파 발로란트 1번 사무용 본체만,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i5-12400F, , 그래픽 : 지포스RTX2060, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB, 램규격 : DDR4 "
1238,"최저879,000원",ASUS S500SE-7137000020,"형태 : 슬림형CPU제조사 : 인텔CPU : 코어i7-13700, CPU종류 : 코어i7 13세대코어종류 : 16코어, 메인보드 : (인텔)B760램용량 : 8GB, SSD용량 : 512GB    "
