회사명,직무명,링크
㈜크레이버코퍼레이션,[ Craver ] 글로벌 뷰티 화장품 브랜드 SKIN1004 해외(서구권) 이커머스 MD 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45285167?rPageCode=SL&logpath=21&sn=6
㈜크레이버코퍼레이션,[ Craver 관계사 ARX ] 더마 스킨케어 브랜드 Anosh 온라인 MD 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45288190?rPageCode=SL&logpath=21&sn=6
㈜앤하우스,2024년 하반기 메가MGC커피 슈퍼바이저 신입사원 공개채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45282542?rPageCode=SL&logpath=21&sn=6
㈜케이에스디어패럴,여성의류 쇼핑몰 [케이클럽] MD/스타일리스트 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45280688?rPageCode=SL&logpath=21&sn=6
㈜한국기업교육개발원,[10시-5시30/기본급200만:추가수당별도] 기업교육 플래너 (TM상담업무) 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45286446?rPageCode=SL&logpath=21&sn=6
보람상조피플㈜,24년 8월 보람상조 성수동 본사 관리자 특별 채용. 정년 없는 평생직장.,https://www.jobkorea.co.kr/Recruit/GI_Read/45256207?rPageCode=SL&logpath=21&sn=6
㈜라이스클레이,온라인쇼핑몰 관리자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45288126?rPageCode=SL&logpath=21&sn=6
㈜제이케이인터내셔널,온라인MD 경력자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45279194?rPageCode=SL&logpath=21&sn=6
비즈니어코퍼레이션㈜,온라인 마케팅 디자이너 모집공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45280316?rPageCode=SL&logpath=21&sn=6
㈜오케이오아시스,[LG공식대리점] 디지털 마케팅 / 상품관리 MD 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45271965?rPageCode=SL&logpath=21&sn=6
㈜피앤피산업,반려동물용품 온라인AMD정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45283904?rPageCode=SL&logpath=21&sn=6
㈜에이치케이더블류컴퍼니,동대문 도매 여성의류 MD&디자이너 채용 (근무시간 10-17시),https://www.jobkorea.co.kr/Recruit/GI_Read/45281533?rPageCode=SL&logpath=21&sn=6
주식회사 중독컴퍼니,카페인중독 구매팀 온라인MD 팀원 모집 ( 점심제공 / 성과금 폭탄 / 업계최대복지 ),https://www.jobkorea.co.kr/Recruit/GI_Read/45284487?rPageCode=SL&logpath=21&sn=6
디스크닥터㈜,사무보조 및 c/s 업무 직원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45278866?rPageCode=SL&logpath=21&sn=6
러브지나,인플루언서 쇼핑몰 cs/응대/소통 직원 모집중,https://www.jobkorea.co.kr/Recruit/GI_Read/45278022?rPageCode=SL&logpath=21&sn=6
㈜누리마루,㈜누리마루 온라인 MD 신입 및 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45285977?rPageCode=SL&logpath=21&sn=6
㈜케이제이씨디스플레이코퍼레이션,"영업본부, 구매본부, 기술 부설연구소, 품질보증본부, 재무팀, 생산팀 신입 및 경력직 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45284105?rPageCode=SL&logpath=21&sn=6
㈜바이와이제이,[나인/로라로라] 제휴MD 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45272913?rPageCode=SL&logpath=21&sn=6
동국제약㈜,동국제약 신입/경력 사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45271765?rPageCode=SL&logpath=21&sn=6
GS리테일,[GS리테일] 플랫폼BU 수퍼사업부 농산팀 농산MD 경력사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45265473?rPageCode=SL&logpath=21&sn=6
북메카,"[수입도서 전문기업 북메카] 온/오프라인 마케터 채용(SNS, 네이버카페, 행사기획)",https://www.jobkorea.co.kr/Recruit/GI_Read/45267738?rPageCode=SL&logpath=21&sn=6
㈜그래디언트,건강기능식품(래디웰) 홈쇼핑 영업 및 마케팅 직군 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45273482?rPageCode=SL&logpath=21&sn=6
농협목우촌,"2024년도 하반기 신규직원 채용 (일반직, 전문기술직)",https://www.jobkorea.co.kr/Recruit/GI_Read/45244767?rPageCode=SL&logpath=21&sn=6
㈜브이엠씨이,[켈리즈/정직원] 라이브 커머스 운영팀 정직원 채용 공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45273121?rPageCode=SL&logpath=21&sn=6
천안일등식자재마트,[업계최고우대] 식자재마트 정육/공산 직원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45272212?rPageCode=SL&logpath=21&sn=6
씨엠커뮤니티,"현수막, 실사 후가공 및 시공직원(배우면서 일하실분) 직원 모집합니다.",https://www.jobkorea.co.kr/Recruit/GI_Read/45268662?rPageCode=SL&logpath=21&sn=6
㈜디플로우(D.FLOW),"[대표가 직접만든 공고] CX(인바운드,고객상담) / 가전브랜드 디자이너 각 부문 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45274237?rPageCode=SL&logpath=21&sn=6
㈜위드제이앤제이,[사이트기획/영상콘텐츠기획/서브MD/포토그래퍼/여성의류 디자이너] 메이블루 24년 하반기 부문별 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45274131?rPageCode=SL&logpath=21&sn=6
㈜투앤업,[화장품 브랜드 매니지먼트팀] 커머스 파트(MD) 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45271049?rPageCode=SL&logpath=21&sn=6
워로브라더스,네이버 카페 공동구매 영업MD (제휴마케팅),https://www.jobkorea.co.kr/Recruit/GI_Read/45261676?rPageCode=SL&logpath=21&sn=6
워로브라더스,온라인 MD 스페셜리스트,https://www.jobkorea.co.kr/Recruit/GI_Read/45261686?rPageCode=SL&logpath=21&sn=6
워로브라더스,"상품기획자(소형가전, 차량/캠핑용품)",https://www.jobkorea.co.kr/Recruit/GI_Read/45261700?rPageCode=SL&logpath=21&sn=6
워로브라더스,"온라인 MD (경력,1년이상)",https://www.jobkorea.co.kr/Recruit/GI_Read/45261691?rPageCode=SL&logpath=21&sn=6
광동제약㈜,[광동제약] F&B영업본부 온라인영업팀(팀장) 경력직원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45262400?rPageCode=SL&logpath=21&sn=6
LF,2024년 정규직 전환형 인턴 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45244248?rPageCode=SL&logpath=21&sn=6
씨제이엠디원 주식회사,2024 하반기 CJ엠디원 현장MD 공개채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45250316?rPageCode=SL&logpath=21&sn=6
㈜더오름,"[더오름] 2024 하반기 채용 (영업 마케터 / 디자이너 / MD / SNS 마케터 / 비서 / 사무보조 : 마케팅, 디자인, 상품 기획 등)",https://www.jobkorea.co.kr/Recruit/GI_Read/45256959?rPageCode=SL&logpath=21&sn=6
