회사명,직무명,링크
제니코식품㈜,제니코식품㈜ [영업부] 신입 및 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45295676?rPageCode=SL&logpath=21&sn=6
㈜ 커피빈코리아,(주)커피빈코리아 본사 부문별 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45291234?rPageCode=SL&logpath=21&sn=6
청우특수대산,청우특수대산 직원 모집 (상차원 / 장비원),https://www.jobkorea.co.kr/Recruit/GI_Read/45285376?rPageCode=SL&logpath=21&sn=6
삼현뮤직,악기 쇼핑몰 물류 입출고 및 포장 사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45296849?rPageCode=SL&logpath=21&sn=6
민영상사,각 부문 채용[영업관리(해외)/상품기획/웹디자인/의상디자인](9시출근-5시퇴근),https://www.jobkorea.co.kr/Recruit/GI_Read/45294855?rPageCode=SL&logpath=21&sn=6
아이티켐,㈜아이티켐 각 분야 경력사원 정규직 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45290965?rPageCode=SL&logpath=21&sn=6
㈜용운,[㈜용운] 배송납품 / 단순배송 각분야 직원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45297119?rPageCode=SL&logpath=21&sn=6
㈜티디에이치컴퍼니,[남성의류쇼핑몰 오까네] 물류팀 [오프라인매장 물류파트] 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45289964?rPageCode=SL&logpath=21&sn=6
시루아네,"쇼핑몰 택배준비원 / 제품관리, 택배포장사원 구인합니다.",https://www.jobkorea.co.kr/Recruit/GI_Read/45293211?rPageCode=SL&logpath=21&sn=6
㈜선해수산,[㈜선해수산] 생산물류(경기광주) / 유통영업 / 식품연구원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45289830?rPageCode=SL&logpath=21&sn=6
㈜유니맥스 이엔엘,배송 및 창고관리 모집 (근무지-김포 도사리),https://www.jobkorea.co.kr/Recruit/GI_Read/45294795?rPageCode=SL&logpath=21&sn=6
㈜골프코리아,㈜골프코리아 [골프클럽 피팅 상담 & AS상담/회계&총무/해외수출입관리] 채용 공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45289301?rPageCode=SL&logpath=21&sn=6
한결비앤에프,무역 오더관리자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45294697?rPageCode=SL&logpath=21&sn=6
㈜범아상사,부산항만 컨테이너 검수사 (신입사원) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45290172?rPageCode=SL&logpath=21&sn=6
디앤피로직스,"[배려있는 분위기/ 3PL] 물류 입,출고 정직원 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45293395?rPageCode=SL&logpath=21&sn=6
㈜모락스,2024년 하반기 경력 및 신입사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45292070?rPageCode=SL&logpath=21&sn=6
㈜툴스피아,2024년 각 부문 채용[패키지디자인/무역부/물류관리/영업부],https://www.jobkorea.co.kr/Recruit/GI_Read/45291508?rPageCode=SL&logpath=21&sn=6
㈜인트리홀딩스,온라인 영업MD 및 팀장/마케팅 전문가/온라인 쇼핑몰 정산 및 고객관리 담당 직원/물류센터 팀원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45290132?rPageCode=SL&logpath=21&sn=6
주)베스트푸드키즈,유아 급식 배송 직원 구함(주5일),https://www.jobkorea.co.kr/Recruit/GI_Read/45291884?rPageCode=SL&logpath=21&sn=6
㈜렌코,현관매트/청소용품 납품 관리사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45291396?rPageCode=SL&logpath=21&sn=6
