회사명,직무명,링크
북메카,"[수입도서 전문기업 북메카] 온/오프라인 마케터 채용(SNS, 네이버카페, 행사기획)",https://www.jobkorea.co.kr/Recruit/GI_Read/45267738?rPageCode=SL&logpath=21&sn=6
㈜그래디언트,건강기능식품(래디웰) 홈쇼핑 영업 및 마케팅 직군 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45273482?rPageCode=SL&logpath=21&sn=6
CJ 4DPLEX,[CJ그룹 계열사] CJ 4DPLEX 브랜드마케팅팀 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45261908?rPageCode=SL&logpath=21&sn=6
㈜제이아이씨글로벌,[EPT] Junior Brand Manager,https://www.jobkorea.co.kr/Recruit/GI_Read/45266741?rPageCode=SL&logpath=21&sn=6
㈜글로벌엠이엠,[아이디병원] 성형외과/치과/피부과 파트별 마케팅 기획 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45260771?rPageCode=SL&logpath=21&sn=6
㈜더핑크코리아,여성의류쇼핑몰 온라인 광고 마케터 직원 모십니다,https://www.jobkorea.co.kr/Recruit/GI_Read/45267191?rPageCode=SL&logpath=21&sn=6
㈜위드제이앤제이,[사이트기획/영상콘텐츠기획/서브MD/포토그래퍼/여성의류 디자이너] 메이블루 24년 하반기 부문별 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45274131?rPageCode=SL&logpath=21&sn=6
㈜서울기획101,건축업계 인하우스 마케터 팀장급 채용 공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45270971?rPageCode=SL&logpath=21&sn=6
㈜아스트라페,"[디지털광고대행사 AE모집] 팀원 공개수배, 잡코리아 그만 들어오고 싶어요ㅠㅠ",https://www.jobkorea.co.kr/Recruit/GI_Read/45263046?rPageCode=SL&logpath=21&sn=6
한독바이오테크㈜,한독바이오테크㈜ 2024년 공개채용(신입/경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45267277?rPageCode=SL&logpath=21&sn=6
㈜투앤업,[화장품 브랜드 매니지먼트팀] 커머스 파트(MD) 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45271049?rPageCode=SL&logpath=21&sn=6
주식회사 원정대,[월250/성과급별도] 커머스 광고 대행사 영업팀 매니저 채용 - 확장 이전,https://www.jobkorea.co.kr/Recruit/GI_Read/45267274?rPageCode=SL&logpath=21&sn=6
LF,2024년 정규직 전환형 인턴 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45244248?rPageCode=SL&logpath=21&sn=6
㈜넥슨네트웍스,[넥슨네트웍스] 판교센터 게임서비스 부문 채용연계형 인턴 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45247192?rPageCode=SL&logpath=21&sn=6
㈜단비교육,"에듀테크 1등 기업 단비교육 (프론트엔드개발/백엔드개발/AI서비스기획/국어,사회,과학 콘텐츠기획/마케팅/디자인/학원홍보,방문상담/인바운드/글로벌비즈니스)",https://www.jobkorea.co.kr/Recruit/GI_Read/45254576?rPageCode=SL&logpath=21&sn=6
현대자동차㈜,"현대자동차 경력채용 사업/기획, 경영지원, 디자인 부문",https://www.jobkorea.co.kr/Recruit/GI_Read/45252787?rPageCode=SL&logpath=21&sn=6
㈜케이앤웍스,[경력] 카카오게임즈 모바일 게임 커뮤니티 운영 담당자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45259434?rPageCode=SL&logpath=21&sn=6
엔픽스,[유아용품] 마케팅팀 정규직 채용 (확장),https://www.jobkorea.co.kr/Recruit/GI_Read/45264792?rPageCode=SL&logpath=21&sn=6
㈜더오름,"[더오름] 2024 하반기 채용 (영업 마케터 / 디자이너 / MD / SNS 마케터 / 비서 / 사무보조 : 마케팅, 디자인, 상품 기획 등)",https://www.jobkorea.co.kr/Recruit/GI_Read/45256959?rPageCode=SL&logpath=21&sn=6
엘앤티렉서스㈜,당신의 최고의 선택 L&T LEXUS - 각 분야별 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45245013?rPageCode=SL&logpath=21&sn=6
㈜바운스,[실내테마파크] (주)바운스 신입 및 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45252423?rPageCode=SL&logpath=21&sn=6
㈜시몬스,2024년 하반기 부문별 채용공고(신입/경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45253033?rPageCode=SL&logpath=21&sn=6
㈜디이엔에이,"온라인, 퍼포먼스마케팅 대리, 과장급 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45259197?rPageCode=SL&logpath=21&sn=6
㈜디이엔에이,디이엔에이 광고 아트 디렉터(대리급) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45259187?rPageCode=SL&logpath=21&sn=6
하이카즈렌트카,신차장기렌트&리스[정착금600/인센]인바운드 영업/신입 강력지원제도/TM 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45257729?rPageCode=SL&logpath=21&sn=6
㈜그루앤컴퍼니,온라인 쇼핑몰 에디터 직원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45258212?rPageCode=SL&logpath=21&sn=6
한국의길과문화,관광프로젝트 기획 및 실행 담당(팀장급/경력직),https://www.jobkorea.co.kr/Recruit/GI_Read/45260215?rPageCode=SL&logpath=21&sn=6
밈박스컴퍼니,[밈박스컴퍼니] 유튜브 쇼츠 기획/시나리오 작가님 모집합니다 (신입/경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45257092?rPageCode=SL&logpath=21&sn=6
패스트트랙투원㈜,디지털 마케팅 귀한 경력 / 소중한 신입 AE 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45265162?rPageCode=SL&logpath=21&sn=6
