회사명,직무명,링크
㈜에스씨에스,인공지능 펌웨어 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45535628?rPageCode=SL&logpath=21&sn=6
㈜그라파,[백엔드 개발자] 데이터 플랫폼 솔루션 개발자 모집 (신입/경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45535569?rPageCode=SL&logpath=21&sn=6
㈜텐정보통신,"부동산관련 어플리케이션(Web, Window) 개발 및 운영유지보수",https://www.jobkorea.co.kr/Recruit/GI_Read/45535445?rPageCode=SL&logpath=21&sn=6
㈜케이지모빌리언스,[KG모빌리언스] 데이터기술팀 데이터베이스 운영 업무 담당자,https://www.jobkorea.co.kr/Recruit/GI_Read/45535437?rPageCode=SL&logpath=21&sn=6
웨이센,AI Research Engineer 시니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45535309?rPageCode=SL&logpath=21&sn=6
㈜메이커플랫폼,App / Web 기획직 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45535243?rPageCode=SL&logpath=21&sn=6
동국시스템즈㈜,"[동국시스템즈] AI 운영 담당자 채용 (경력, 포항근무)",https://www.jobkorea.co.kr/Recruit/GI_Read/45535035?rPageCode=SL&logpath=21&sn=6
㈜디케이앤트,"㈜디케이앤트 - AI 지능형 CCTV(얼굴인식 솔루션),우수조달 제품 영업담당 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45534706?rPageCode=SL&logpath=21&sn=6
KB캐피탈㈜,KB캐피탈 디지털 운영 경력직(전문 계약직) 채용공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45532341?rPageCode=SL&logpath=21&sn=6
디어젠㈜,[디어젠] Machine Learning Engineer 경력 채용(Senior),https://www.jobkorea.co.kr/Recruit/GI_Read/45534028?rPageCode=SL&logpath=21&sn=6
디어젠㈜,[디어젠] Machine Learning Engineer 경력 채용(Junior),https://www.jobkorea.co.kr/Recruit/GI_Read/45533888?rPageCode=SL&logpath=21&sn=6
지니언스(주),2024 지니언스 인재 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45533774?rPageCode=SL&logpath=21&sn=6
씨앤토트플러스㈜,"서울 /인천] Oracle DBA 모집 (경력, 정규직)",https://www.jobkorea.co.kr/Recruit/GI_Read/45533426?rPageCode=SL&logpath=21&sn=6
엠비씨(MBC)아카데미 컴퓨터교육센터,[서울/경기]100프로 무료 취업교육생모집 (UI.UX웹디자인&퍼블리셔/웹개발/게임/빅데이터/영상),https://www.jobkorea.co.kr/Recruit/GI_Read/45533123?rPageCode=SL&logpath=21&sn=6
이지케어텍㈜,Oracle DBA 운영/관리 수행 실무자,https://www.jobkorea.co.kr/Recruit/GI_Read/45531975?rPageCode=SL&logpath=21&sn=6
㈜로보사피엔스,[로보사피엔스] 백 엔드 개발자 인재 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45532321?rPageCode=SL&logpath=21&sn=6
㈜로보사피엔스,[로보사피엔스] 백 엔드 개발자 경력 3년 이상 인재 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45532317?rPageCode=SL&logpath=21&sn=6
에스씨301의원,[SC301의원 삼성동/코엑스] AI-CRM 서비스 프론트엔드개발자 신입/경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45532294?rPageCode=SL&logpath=21&sn=6
㈜하이,(주) 하이 - 데이터 사이언티스트 (리드),https://www.jobkorea.co.kr/Recruit/GI_Read/45532264?rPageCode=SL&logpath=21&sn=6
㈜엔디에스,NDS 하반기 경력 채용 공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45517289?rPageCode=SL&logpath=21&sn=6
㈜케이티아이에스,[KT A`CenCloud]AICC 보이스봇/챗봇 동적노드 코딩/개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45529698?rPageCode=SL&logpath=21&sn=6
은커뮤니케이션,식품 패키지디자이너 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45531999?rPageCode=SL&logpath=21&sn=6
제이에스엘인재개발원㈜,[국비지원 전액무료]Cloud 연계 웹 개발전문가(IT) 해외취업 교육생 모집 진행 /훈령수당지급/정착지원급/전공무관/고졸가능,https://www.jobkorea.co.kr/Recruit/GI_Read/45531797?rPageCode=SL&logpath=21&sn=6
㈜넥슨,[인텔리전스랩스] 게임밸류에이션팀 데이터 사이언티스트,https://www.jobkorea.co.kr/Recruit/GI_Read/45531729?rPageCode=SL&logpath=21&sn=6
휴먼교육센터,[전액무료 IT취업] 파이썬/데이터분석/인공지능/풀스택(무료숙식제공),https://www.jobkorea.co.kr/Recruit/GI_Read/45531585?rPageCode=SL&logpath=21&sn=6
이지서티,[정규직] 솔루션 엔지니어 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45531583?rPageCode=SL&logpath=21&sn=6
