회사명,직무명,링크
㈜아크공조,시스템에어컨 영업/ CAD설계 분야 모집공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45542834?rPageCode=SL&logpath=21&sn=6
㈜이푸른인터내셔널,프리미엄 주방가전 레꼴뜨 영업 사원 채용공고 신입/경력,https://www.jobkorea.co.kr/Recruit/GI_Read/45542823?rPageCode=SL&logpath=21&sn=6
삼성생명보험,[24년 11월 입사]기업보험영업 기업경영컨설팅 기업재무상담 (예비)전문가 모집 [신입/경력],https://www.jobkorea.co.kr/Recruit/GI_Read/45542814?rPageCode=SL&logpath=21&sn=6
㈜노블스컴,"온라인 쇼핑몰 MD (또는 AMD) (채널기획 및 관리, 매출관리, 발주 및 송장, 정산업무)",https://www.jobkorea.co.kr/Recruit/GI_Read/45542807?rPageCode=SL&logpath=21&sn=6
㈜노블스컴,"영업관리 및 지원 (채널기획 및 관리, 매출관리, 발주 및 송장, 정산업무)",https://www.jobkorea.co.kr/Recruit/GI_Read/45542799?rPageCode=SL&logpath=21&sn=6
좋은 날,LG유플러스 직영대리점 정직원 채용합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45542752?rPageCode=SL&logpath=21&sn=6
㈜미영,"영업부(화장품용기-고객사관리, 샘플지원, 영업지원)모집",https://www.jobkorea.co.kr/Recruit/GI_Read/45542732?rPageCode=SL&logpath=21&sn=6
큐리어스(Qrius),[강남역]원더풀 성형외과 중국 영업 및 에이젼시 관리,https://www.jobkorea.co.kr/Recruit/GI_Read/45542726?rPageCode=SL&logpath=21&sn=6
더노블 천안한방병원,병원 영업부장님을 모십니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45542691?rPageCode=SL&logpath=21&sn=6
㈜코밴,"전자결제(PG)서비스 운영(신입,경력직)",https://www.jobkorea.co.kr/Recruit/GI_Read/45542648?rPageCode=SL&logpath=21&sn=6
황금부동산중개사사무소,전월세 상가 다가구 경력자및 부동산 운영 가능한 공인중개사 구합니다,https://www.jobkorea.co.kr/Recruit/GI_Read/45542636?rPageCode=SL&logpath=21&sn=6
주식회사 센세이션,[아이더 서전주점]과 함께 달려볼 [직원] 구합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45508747?rPageCode=SL&logpath=21&sn=6
㈜스테비스,프랜차이즈 직영점 슈퍼바이저 모집합니다,https://www.jobkorea.co.kr/Recruit/GI_Read/45542591?rPageCode=SL&logpath=21&sn=6
트러스트,[영업/가산] 비상장 영업 직원 모집합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45542584?rPageCode=SL&logpath=21&sn=6
기아행복한대리점,기아(주) 행복한대리점에서 가족처럼 함께 근무할 카마스터(영업직)를 모십니다,https://www.jobkorea.co.kr/Recruit/GI_Read/45542579?rPageCode=SL&logpath=21&sn=6
모카(MOCA),"[영업] `즐거운 회사생활` 같이 하실분을 찾습니다. (장교, 부사관 우대)",https://www.jobkorea.co.kr/Recruit/GI_Read/45542577?rPageCode=SL&logpath=21&sn=6
케이탑부동산중개사사무소,[전월세팀]강남 메인 중심에 위치한 강남부동산에서 제대로 중개하실뿐,https://www.jobkorea.co.kr/Recruit/GI_Read/45542564?rPageCode=SL&logpath=21&sn=6
케이탑부동산중개사사무소,강남부동산 [사무실팀 증원] 초보가능,https://www.jobkorea.co.kr/Recruit/GI_Read/45542557?rPageCode=SL&logpath=21&sn=6
㈜에스앤씨코퍼레이션,[유연근무제/자기개발비] 해외영업사원,https://www.jobkorea.co.kr/Recruit/GI_Read/45542467?rPageCode=SL&logpath=21&sn=6
우인미트,수입 축산물 거래처 배송 및 단순작업 보조 사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542522?rPageCode=SL&logpath=21&sn=6
공인중개사사무소협진부동산,2024년 하반기 협진공인중개사사무소에서 함께할 소속공인중개사님을 모십니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45542530?rPageCode=SL&logpath=21&sn=6
푸마시 (POOMASI),[SK/KT공식 대행사] 기본급 400 대기업 미디어 광고 마케팅 영업,https://www.jobkorea.co.kr/Recruit/GI_Read/45542523?rPageCode=SL&logpath=21&sn=6
푸마시 (POOMASI),테이블오더 외식업-필드영업 월 500 이상 가능합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45542514?rPageCode=SL&logpath=21&sn=6
㈜바다플랫폼,[경력무관] 푸드테크 B2B마케팅 담당자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542507?rPageCode=SL&logpath=21&sn=6
㈜모터원의정부지점,벤츠 딜러 채용공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45542498?rPageCode=SL&logpath=21&sn=6
유한회사 화승,(유)화승 인터넷 재약정 아웃바운드 상담사 채용 [기존 고객DB],https://www.jobkorea.co.kr/Recruit/GI_Read/45542497?rPageCode=SL&logpath=21&sn=6
㈜메디우스아이앤티,의욕넘치는 의료기기 영업사원을 모집합니다,https://www.jobkorea.co.kr/Recruit/GI_Read/45542483?rPageCode=SL&logpath=21&sn=6
㈜언커버애드,[SK/KT공식 대행사] 기본급 400 미디어 영상 마케팅 광고영업,https://www.jobkorea.co.kr/Recruit/GI_Read/45542482?rPageCode=SL&logpath=21&sn=6
값진사람들,프랜차이즈 브랜드 [육시리 / 값진화로] 신규 가맹영업 프리랜서 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542476?rPageCode=SL&logpath=21&sn=6
㈜언커버애드,테이블오더 영업사원 채용 월 400 이상 가능합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45542473?rPageCode=SL&logpath=21&sn=6
㈜트리피카,[트리피카] 세일즈 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45542443?rPageCode=SL&logpath=21&sn=6
