회사명,직무명,링크
신비앤텍(주),자동화장비 FA개발 시스템 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45233265?rPageCode=SL&logpath=21&sn=6
우미건설㈜,우미 8월 경력사원 수시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45236415?rPageCode=SL&logpath=21&sn=6
㈜삼표산업,[삼표그룹] ㈜에스피네이처 생산설비 부문 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45237151?rPageCode=SL&logpath=21&sn=6
한화정밀기계㈜,한화정밀기계 2024년 경력사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45231818?rPageCode=SL&logpath=21&sn=6
한솔홈데코,㈜한솔홈데코 재무회계 및 전기설비 부문 경력사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45235255?rPageCode=SL&logpath=21&sn=6
㈜성진하이텍,의료기기RA 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45239162?rPageCode=SL&logpath=21&sn=6
㈜성진하이텍,연구개발 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45239069?rPageCode=SL&logpath=21&sn=6
㈜현대계전,㈜현대계전 플랜트 건설 & 감리부문 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45238436?rPageCode=SL&logpath=21&sn=6
㈜엘시시,㈜LCC 각 부문별 신입사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45231136?rPageCode=SL&logpath=21&sn=6
㈜솔라테크,태양광/사업기획/EPC/설계/사업운영/마케팅/구조검토/인사총무/태양광발전소 유지보수/사업확장채용/근무지:광명,https://www.jobkorea.co.kr/Recruit/GI_Read/45230619?rPageCode=SL&logpath=21&sn=6
㈜브로던,[BROADERN] 각 부문 신입/경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45236276?rPageCode=SL&logpath=21&sn=6
㈜삼진엘앤디,사출설비 엔지니어 기술경력자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45225082?rPageCode=SL&logpath=21&sn=6
GS건설㈜,[2024년] PJT전문직 경력사원 모집(현장설계직),https://www.jobkorea.co.kr/Recruit/GI_Read/45220721?rPageCode=SL&logpath=21&sn=6
디와이오토㈜,디와이오토 2024년 하반기 신입/경력사원 공개채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45220205?rPageCode=SL&logpath=21&sn=6
㈜영신디엔씨,㈜영신디엔씨 각분야 신입/경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45225644?rPageCode=SL&logpath=21&sn=6
㈜스펙만어소시에이츠,"인테리어(설계)디자인 대리, 과장급 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45211972?rPageCode=SL&logpath=21&sn=6
㈜테스콤,전장설계 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45215776?rPageCode=SL&logpath=21&sn=6
㈜테스콤,로봇제어 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45215766?rPageCode=SL&logpath=21&sn=6
㈜테스콤,자동화 설비 PLC제어 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45215758?rPageCode=SL&logpath=21&sn=6
㈜테스콤,기구설계 Engineer,https://www.jobkorea.co.kr/Recruit/GI_Read/45215723?rPageCode=SL&logpath=21&sn=6
한국산업은행,한국산업은행 2024년 2차 청년인턴 채용 공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45210871?rPageCode=SL&logpath=21&sn=6
한국승강기안전공단,2024년 기간제근로자 (승강기검사 고령자) 채용 재공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45189141?rPageCode=SL&logpath=21&sn=6
한솔테크닉스,H/W설계(전자식변속기(E-Shifter)),https://www.jobkorea.co.kr/Recruit/GI_Read/45199497?rPageCode=SL&logpath=21&sn=6
한솔테크닉스,S/W개발 (EV충전모듈),https://www.jobkorea.co.kr/Recruit/GI_Read/45199415?rPageCode=SL&logpath=21&sn=6
한솔테크닉스,S/W개발 (스마트태그),https://www.jobkorea.co.kr/Recruit/GI_Read/45199570?rPageCode=SL&logpath=21&sn=6
한솔테크닉스,H/W개발(TV용 SMPS선행/양산개발) 수원,https://www.jobkorea.co.kr/Recruit/GI_Read/45199252?rPageCode=SL&logpath=21&sn=6
한솔테크닉스,S/W개발 (모터 제어),https://www.jobkorea.co.kr/Recruit/GI_Read/45199340?rPageCode=SL&logpath=21&sn=6
한솔테크닉스,H/W개발 (EV충전모듈),https://www.jobkorea.co.kr/Recruit/GI_Read/45199595?rPageCode=SL&logpath=21&sn=6
한솔테크닉스,전장사업부 공정기술 경력,https://www.jobkorea.co.kr/Recruit/GI_Read/45199528?rPageCode=SL&logpath=21&sn=6
한솔테크닉스,H/W개발 (TV용 SMPS 선행/양산개발),https://www.jobkorea.co.kr/Recruit/GI_Read/45199225?rPageCode=SL&logpath=21&sn=6
한솔테크닉스,"H/W개발(생활가전용SMPS,인버터 회로개발)",https://www.jobkorea.co.kr/Recruit/GI_Read/45199291?rPageCode=SL&logpath=21&sn=6
한솔테크닉스,광학설계 (차량용 Lamp),https://www.jobkorea.co.kr/Recruit/GI_Read/45199505?rPageCode=SL&logpath=21&sn=6
㈜애즈원,주식회사 애즈원 CS(AS유지보수)팀 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45193726?rPageCode=SL&logpath=21&sn=6
㈜GNA,"신입지원금 총 600만/ 인바운드 단순 상담 모집, 인센별도, DB제공 각종상여 모두지원",https://www.jobkorea.co.kr/Recruit/GI_Read/45181501?rPageCode=SL&logpath=21&sn=6
스카니아코리아그룹㈜,스카니아 아카데미 4기 기술 교육생(Trainee) 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45184300?rPageCode=SL&logpath=21&sn=6
㈜GNA,"[신차장기렌트] GNA 본사대형확장이전 / 선착순채용 (정착지원금 600만, 추가인센)",https://www.jobkorea.co.kr/Recruit/GI_Read/45181598?rPageCode=SL&logpath=21&sn=6
㈜툴스마트ToolsMart,[2024 하반기] 영업관리 및 공구 AS 기사 각 부문 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45186595?rPageCode=SL&logpath=21&sn=6
㈜케이에스엠,KSM그룹 2024년 하반기 신입/경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45176177?rPageCode=SL&logpath=21&sn=6
유한회사대일산업,현대삼호중공업내 전기 배선공 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45169965?rPageCode=SL&logpath=21&sn=6
㈜대진정공,[펌프 제조업] 설계/PM/영업/품질 부문별 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45164967?rPageCode=SL&logpath=21&sn=6
고운전기㈜,자동제어 PLC 신입 및 경력 채용 [청년/재직자 내일채움공제 가능],https://www.jobkorea.co.kr/Recruit/GI_Read/45163168?rPageCode=SL&logpath=21&sn=6
㈜듀어코리아,Software Engineer (신입),https://www.jobkorea.co.kr/Recruit/GI_Read/45153865?rPageCode=SL&logpath=21&sn=6
㈜듀어코리아,Robot Teacher (신입),https://www.jobkorea.co.kr/Recruit/GI_Read/45153793?rPageCode=SL&logpath=21&sn=6
㈜뉴온,"전장설계, 제어",https://www.jobkorea.co.kr/Recruit/GI_Read/45132790?rPageCode=SL&logpath=21&sn=6
Atlas Copco Korea㈜,Atlas Copco Korea㈜ 각 부문 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45113637?rPageCode=SL&logpath=21&sn=6
재영솔루텍㈜,[재영솔루텍㈜] 각 분야별 신입/경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45122052?rPageCode=SL&logpath=21&sn=6
대한상공회의소 경기인력개발원,취업 교육생 모집 [기계설계/전기/반도체/자동화/멀티미디어/정보보안 분야],https://www.jobkorea.co.kr/Recruit/GI_Read/45137438?rPageCode=SL&logpath=21&sn=6
㈜아베크디자인,2024년 하반기 경력직 채용(설계부/브랜드마케팅),https://www.jobkorea.co.kr/Recruit/GI_Read/45102278?rPageCode=SL&logpath=21&sn=6
㈜웅진,[경력] SAP MM모듈 유지보수 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45309244?rPageCode=SL&logpath=21&sn=6
GS건설㈜,[상시채용] PJT전문직 경력사원 모집(건축/설비/전기/안전/품질),https://www.jobkorea.co.kr/Recruit/GI_Read/45032895?rPageCode=SL&logpath=21&sn=6
오토앤㈜,[경기도 안양] 제품개발 담당자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44992641?rPageCode=SL&logpath=21&sn=6
㈜와이에스생명과학,"㈜YS생명과학 제조팀, 기술지원팀 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/44826876?rPageCode=SL&logpath=21&sn=6
㈜티에이치인더스,[충남 아산] 2024년 하반기 플랜트 배관 설계 (신입/경력) 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45028875?rPageCode=SL&logpath=21&sn=6
에이티에너지,[신입] 사업장 일반폐기물소각로 조작원 모집(4조2교대),https://www.jobkorea.co.kr/Recruit/GI_Read/45033935?rPageCode=SL&logpath=21&sn=6
