회사명,직무명,링크
㈜스필,(주)스필 물류팀 정규직 채용 (대리급),https://www.jobkorea.co.kr/Recruit/GI_Read/45538686?rPageCode=SL&logpath=21&sn=6
데스카,총무 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45538668?rPageCode=SL&logpath=21&sn=6
㈜컬리,[컬리] SCM 발주 담당,https://www.jobkorea.co.kr/Recruit/GI_Read/45538667?rPageCode=SL&logpath=21&sn=6
씨더블유씨커머스(유),프리미엄 와인 수입사 CWC 수입/통관 매니저 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45538629?rPageCode=SL&logpath=21&sn=6
㈜티에스씨컴퍼니,물류직원을 모집합니다.(낚시용품),https://www.jobkorea.co.kr/Recruit/GI_Read/45538596?rPageCode=SL&logpath=21&sn=6
로지션,[안성/월340]기본급 및 인센티브多 주간 지게차 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45538534?rPageCode=SL&logpath=21&sn=6
㈜일성메탈,무역업무 및 자재관리 담당자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45538383?rPageCode=SL&logpath=21&sn=6
㈜한국비온택,자재관리 및 거래처 납품 / 중국어 가능자 우대,https://www.jobkorea.co.kr/Recruit/GI_Read/45538422?rPageCode=SL&logpath=21&sn=6
티센크루프머티리얼코리아㈜,"영업, 운영부문 신입/경력직원 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45538037?rPageCode=SL&logpath=21&sn=6
㈜삼창산업,지게차운전,https://www.jobkorea.co.kr/Recruit/GI_Read/45538308?rPageCode=SL&logpath=21&sn=6
㈜키보스,[유아용품]브이텍/비세이프 ㈜키보스에서 역량있는 인재를 모십니다. (수출입 무역담당자),https://www.jobkorea.co.kr/Recruit/GI_Read/45537767?rPageCode=SL&logpath=21&sn=6
㈜키보스,[유아용품]브이텍/비세이프 ㈜키보스에서 역량있는 인재를 모십니다. (영업지원 담당자),https://www.jobkorea.co.kr/Recruit/GI_Read/45537699?rPageCode=SL&logpath=21&sn=6
㈜상상바이오,사무보조 사원 모집합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45538142?rPageCode=SL&logpath=21&sn=6
㈜코리아테크,[코리아테크] 홈쇼핑 방송 운영 관리 직원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45538141?rPageCode=SL&logpath=21&sn=6
신성제과,택배포장직원 구합니다,https://www.jobkorea.co.kr/Recruit/GI_Read/45538131?rPageCode=SL&logpath=21&sn=6
에스케이 머티리얼즈㈜,[SK머티리얼즈] 환경/R&D/품질/생산/영업/Staff 등 직무 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45533162?rPageCode=SL&logpath=21&sn=6
㈜송지오인터내셔널,[SONGZIO] CS 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45538007?rPageCode=SL&logpath=21&sn=6
㈜더캐리,(주)더캐리 생산 자재(원부자재) 경력 직원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45537966?rPageCode=SL&logpath=21&sn=6
㈜더캐리,(주)더캐리 생산관리 경력 직원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45537899?rPageCode=SL&logpath=21&sn=6
㈜뮬라,[뮬라웨어] 애슬레저 브랜드 생산 MD(경력직) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45537885?rPageCode=SL&logpath=21&sn=6
다담 오토메이션,[전장/ 제어 업체]구매 자재 담당 직원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45537732?rPageCode=SL&logpath=21&sn=6
한솔제지㈜,2024년 대졸 그룹공채 - 보전(기계),https://www.jobkorea.co.kr/Recruit/GI_Read/45537645?rPageCode=SL&logpath=21&sn=6
한솔제지㈜,2024년 대졸 그룹공채 - 엔지니어(기술개발/품질관리),https://www.jobkorea.co.kr/Recruit/GI_Read/45537632?rPageCode=SL&logpath=21&sn=6
이레엔지니어링,[경력] 화장품 자동화 설비 생산계획 관리 담당자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45537621?rPageCode=SL&logpath=21&sn=6
한솔제지㈜,2024년 대졸 그룹공채 - 엔지니어(환경),https://www.jobkorea.co.kr/Recruit/GI_Read/45537616?rPageCode=SL&logpath=21&sn=6
㈜에이피알,[SCM] 해외물류 재고관리 인턴 및 경력사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45537557?rPageCode=SL&logpath=21&sn=6
한솔제지㈜,2024년 대졸 그룹공채 - 구매,https://www.jobkorea.co.kr/Recruit/GI_Read/45537603?rPageCode=SL&logpath=21&sn=6
한솔제지㈜,2024년 대졸 그룹공채 - 회계,https://www.jobkorea.co.kr/Recruit/GI_Read/45537594?rPageCode=SL&logpath=21&sn=6
한솔제지㈜,2024년 대졸 그룹공채 - HR,https://www.jobkorea.co.kr/Recruit/GI_Read/45537581?rPageCode=SL&logpath=21&sn=6
㈜해밀로직스,"가치 있는 인재, 같이 성장할 수 있는 기업 물류 꿈나무를 모십니다.",https://www.jobkorea.co.kr/Recruit/GI_Read/45537495?rPageCode=SL&logpath=21&sn=6
한솔테크닉스,2024년 대졸 그룹공채 - 전장 품질관리,https://www.jobkorea.co.kr/Recruit/GI_Read/45537459?rPageCode=SL&logpath=21&sn=6
이레엔지니어링,[경력] 화장품 자동화 설비 구매 담당자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45537453?rPageCode=SL&logpath=21&sn=6
한솔테크닉스,2024년 대졸 그룹공채 - 전장 기구설계,https://www.jobkorea.co.kr/Recruit/GI_Read/45537444?rPageCode=SL&logpath=21&sn=6
한솔테크닉스,2024년 대졸 그룹공채 - 전장 회로설계(PSM(Power Seat Module) H/W 설계 및 개발 업무),https://www.jobkorea.co.kr/Recruit/GI_Read/45537435?rPageCode=SL&logpath=21&sn=6
㈜지에코,디스플레이(인테리어 제품제작) 총무 (운전직) 구인합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45537419?rPageCode=SL&logpath=21&sn=6
한솔테크닉스,"2024년 대졸 그룹공채 - 전장 회로설계(차량용 Lamp, Display 회로도 PCB 설계)",https://www.jobkorea.co.kr/Recruit/GI_Read/45537417?rPageCode=SL&logpath=21&sn=6
한솔테크닉스,2024년 대졸 그룹공채 - 구매,https://www.jobkorea.co.kr/Recruit/GI_Read/45537406?rPageCode=SL&logpath=21&sn=6
포트코리아,"물류 입,출고 및 창고 관리",https://www.jobkorea.co.kr/Recruit/GI_Read/45537299?rPageCode=SL&logpath=21&sn=6
